feature,f_score,p_value
sttl,28058.0606899406,0.0
state,21979.901902940168,0.0
swin,17079.97143137641,0.0
ct_dst_sport_ltm,15098.98885456173,0.0
dwin,12998.049770164313,0.0
ct_src_dport_ltm,10870.05488977732,0.0
rate,9967.903900353052,0.0
ct_state_ttl,9295.68895058509,0.0
ct_srv_dst,7727.741776355174,0.0
ct_srv_src,7570.815704542409,0.0
dtcpb,7160.097630506974,0.0
stcpb,7081.556346904982,0.0
dload,7032.806494347996,0.0
ct_dst_src_ltm,7003.143718769069,0.0
ct_src_ltm,6815.026789245848,0.0
ct_dst_ltm,5870.7830699011965,0.0
dmean,3856.9284676952366,0.0
synack,1893.616224930228,0.0
tcprtt,1864.1800001707732,0.0
service,1734.3173268091741,0.0
sload,1297.2454326734412,7.10319192298384e-282
sinpkt,1218.5554328015107,4.954381463159634e-265
ackdat,1213.5139345891785,5.952346625012048e-264
is_sm_ips_ports,1150.7344889915796,1.6805690088342054e-250
dttl,808.1158139979301,6.687935367722625e-177
ct_flw_http_mthd,466.08139543155056,4.4169059359652564e-103
dpkts,312.72873778871656,7.486278598807768e-70
smean,308.9689225098551,4.900365975640582e-69
dloss,162.6172728579784,3.2891902761404423e-37
dinpkt,116.4655591616324,3.919143949341892e-27
dbytes,87.76426949608738,7.552281994119794e-21
spkts,63.360200729229426,1.7433856621020393e-15
sjit,61.84240847224103,3.765584185300128e-15
djit,60.64642911344258,6.909585487213107e-15
trans_depth,54.85647290591145,1.3089396829805412e-13
sbytes,35.09199884839987,3.1573468420818457e-09
ct_ftp_cmd,24.188998563852003,8.749763149278626e-07
response_body_len,22.187646462824958,2.4766228106418346e-06
is_ftp_login,21.62711014657871,3.316515558421192e-06
sloss,3.3300846524021854,0.06802699515236335
proto,1.00661422558692,0.31571828302894955
dur,0.10798421566587144,0.7424516883420305
